alpha,beta,status,anal_norm_hs,anal_norm_ps,anal_norm_md,total_analytical_score,scaled_hs,scaled_ps,scaled_md,total_scaled_score,raw_hs,raw_ps,raw_md
0.500000,0.500000,success,-50.729154,-187.647671,-1.544815,-145.325397,0.733916,0.977089,0.507723,1.476322,8586098.000000,77682,30.500000
0.500000,0.600000,success,-48.974680,-185.186745,-1.718840,-142.599356,0.727008,0.975961,0.508593,1.520144,8649407.000000,78296,29.500000
0.500000,0.700000,success,-44.455099,-182.349064,-2.240916,-137.198272,0.708705,0.974593,0.511203,1.553843,8812493.000000,79004,26.500000
0.500000,0.800000,success,-44.270753,-184.072514,-2.240916,-138.099743,0.707943,0.975432,0.511203,1.604621,8819145.000000,78574,26.500000
0.500000,0.900000,success,-42.801306,-180.208779,-2.414941,-135.079142,0.701830,0.973511,0.512072,1.649450,8872169.000000,79538,25.500000
0.500000,1.000000,success,-42.808151,-180.024410,-2.414941,-135.235297,0.701858,0.973416,0.512072,1.700639,8871922.000000,79584,25.500000
0.500000,1.100000,success,-39.664265,-176.256867,-2.762992,-130.831989,0.688536,0.971395,0.513811,1.739426,8985367.000000,80524,23.500000
0.500000,1.200000,success,-39.471244,-178.950259,-2.762992,-132.261964,0.687708,0.972854,0.513811,1.790709,8992332.000000,79852,23.500000
0.500000,1.300000,success,-39.538032,-179.583527,-2.762992,-132.921685,0.687995,0.973187,0.513811,1.842543,8989922.000000,79694,23.500000
0.500000,1.400000,success,-39.577302,-176.353060,-2.762992,-131.622020,0.688163,0.971448,0.513811,1.893223,8988505.000000,80500,23.500000
0.500000,1.500000,success,-39.559981,-176.537429,-2.762992,-131.973183,0.688089,0.971550,0.513811,1.944581,8989130.000000,80454,23.500000
0.600000,0.500000,success,-51.008971,-227.439334,-1.370790,-188.157966,0.735008,0.989531,0.506854,1.582153,8576001.000000,67754,31.500000
0.600000,0.600000,success,-49.626376,-224.826103,-1.544815,-185.448926,0.729587,0.988975,0.507723,1.627606,8625891.000000,68406,30.500000
0.600000,0.700000,success,-45.340719,-219.679800,-2.066891,-178.595422,0.712348,0.987795,0.510333,1.662258,8780536.000000,69690,27.500000
0.600000,0.800000,success,-43.812271,-217.138713,-2.240916,-175.888232,0.706044,0.987166,0.511203,1.707306,8835689.000000,70324,26.500000
0.600000,0.900000,success,-42.104715,-215.775984,-2.414941,-173.743753,0.698906,0.986817,0.512072,1.751861,8897305.000000,70664,25.500000
0.600000,1.000000,success,-39.096677,-213.603635,-2.762992,-170.021850,0.686097,0.986239,0.513811,1.791652,9005848.000000,71206,23.500000
0.600000,1.100000,success,-39.085897,-214.589609,-2.762992,-170.878954,0.686050,0.986504,0.513811,1.843145,9006237.000000,70960,23.500000
0.600000,1.200000,success,-40.759366,-213.291009,-2.588967,-171.840732,0.693214,0.986154,0.512942,1.900437,8945851.000000,71284,24.500000
0.600000,1.300000,success,-40.684181,-215.030492,-2.588967,-173.068133,0.692894,0.986621,0.512942,1.951691,8948564.000000,70850,24.500000
0.600000,1.400000,success,-37.621909,-212.545517,-2.937017,-169.261043,0.679710,0.985949,0.514681,1.991832,9059064.000000,71470,22.500000
0.600000,1.500000,success,-39.187160,-210.333088,-2.762992,-169.531500,0.686486,0.985323,0.513811,2.048397,9002583.000000,72022,23.500000
0.700000,0.500000,success,-49.470241,-261.531587,-1.370790,-233.227747,0.728970,0.994678,0.506854,1.678672,8631525.000000,59248,31.500000
0.700000,0.600000,success,-43.034426,-248.794087,-2.240916,-218.534837,0.702804,0.993145,0.511203,1.704728,8863757.000000,62426,26.500000
0.700000,0.700000,success,-42.998899,-247.816129,-2.240916,-218.038830,0.702656,0.993010,0.511203,1.755605,8865039.000000,62670,26.500000
0.700000,0.800000,success,-42.930115,-249.267034,-2.240916,-219.209772,0.702369,0.993209,0.511203,1.806577,8867521.000000,62308,26.500000
0.700000,0.900000,success,-41.517978,-245.475443,-2.414941,-215.524235,0.696431,0.992678,0.512072,1.852171,8918477.000000,63254,25.500000
0.700000,1.000000,success,-38.589144,-239.864209,-2.762992,-209.257082,0.683906,0.991815,0.513811,1.891989,9024162.000000,64654,23.500000
0.700000,1.100000,success,-38.698804,-241.796077,-2.762992,-210.995348,0.684380,0.992123,0.513811,1.944059,9020205.000000,64172,23.500000
0.700000,1.200000,success,-40.076771,-242.148783,-2.588967,-212.687678,0.690303,0.992178,0.512942,2.000358,8970482.000000,64084,24.500000
0.700000,1.300000,success,-38.657262,-241.058600,-2.762992,-210.990172,0.684201,0.992007,0.513811,2.046561,9021704.000000,64356,23.500000
0.700000,1.400000,success,-38.617466,-239.591663,-2.762992,-210.199819,0.684029,0.991771,0.513811,2.097605,9023140.000000,64722,23.500000
0.700000,1.500000,success,-38.401112,-240.585653,-2.762992,-210.955557,0.683093,0.991932,0.513811,2.148162,9030947.000000,64474,23.500000
