alpha,beta,norm_hs,norm_ps,norm_md,total_norm_score,status
0.400000,1.400000,0.371400,0.000000,0.200000,0.651400,success
0.400000,1.500000,0.371400,0.000000,0.200000,0.671400,success
0.400000,1.600000,0.371400,0.000000,0.200000,0.691400,success
0.400000,1.700000,0.371400,0.000000,0.200000,0.711400,success
0.400000,1.800000,0.371400,0.000000,0.200000,0.731400,success
0.400000,1.900000,0.371400,0.000000,0.200000,0.751400,success
0.400000,2.000000,0.371400,0.000000,0.200000,0.771400,success
0.500000,0.000000,0.000000,0.375000,1.000000,0.187500,success
0.500000,0.100000,0.000000,0.375000,1.000000,0.287500,success
0.500000,0.200000,0.142900,0.250000,0.600000,0.387900,success
0.500000,0.300000,0.142900,0.125000,0.600000,0.385400,success
0.500000,0.400000,0.371400,0.000000,0.200000,0.451400,success
0.500000,0.500000,0.371400,0.000000,0.200000,0.471400,success
0.500000,0.600000,0.371400,0.000000,0.200000,0.491400,success
0.500000,0.700000,0.371400,0.000000,0.200000,0.511400,success
0.500000,0.800000,0.371400,0.000000,0.200000,0.531400,success
0.500000,0.900000,0.371400,0.000000,0.200000,0.551400,success
0.500000,1.000000,0.371400,0.000000,0.200000,0.571400,success
0.500000,1.100000,0.371400,0.000000,0.200000,0.591400,success
0.500000,1.200000,0.371400,0.000000,0.200000,0.611400,success
0.500000,1.300000,0.371400,0.000000,0.200000,0.631400,success
0.500000,1.400000,0.371400,0.000000,0.200000,0.651400,success
0.500000,1.500000,0.371400,0.000000,0.200000,0.671400,success
0.500000,1.600000,0.371400,0.000000,0.200000,0.691400,success
0.500000,1.700000,0.371400,0.000000,0.200000,0.711400,success
0.500000,1.800000,0.371400,0.000000,0.200000,0.731400,success
0.500000,1.900000,0.371400,0.000000,0.200000,0.751400,success
0.500000,2.000000,0.371400,0.000000,0.200000,0.771400,success
0.600000,0.000000,0.000000,0.375000,1.000000,0.225000,success
0.600000,0.100000,0.228600,0.041700,0.600000,0.313620,success
0.600000,0.200000,0.228600,0.041700,0.600000,0.373620,success
0.600000,0.300000,0.371400,0.000000,0.200000,0.431400,success
0.600000,0.400000,0.371400,0.000000,0.200000,0.451400,success
0.600000,0.500000,0.371400,0.000000,0.200000,0.471400,success
0.600000,0.600000,0.371400,0.000000,0.200000,0.491400,success
0.600000,0.700000,0.371400,0.000000,0.200000,0.511400,success
0.600000,0.800000,0.371400,0.000000,0.200000,0.531400,success
0.600000,0.900000,0.371400,0.000000,0.200000,0.551400,success
0.600000,1.000000,0.400000,0.000000,0.200000,0.600000,success
0.600000,1.100000,0.371400,0.000000,0.200000,0.591400,success
0.600000,1.200000,0.371400,0.000000,0.200000,0.611400,success
0.600000,1.300000,0.371400,0.000000,0.200000,0.631400,success
0.600000,1.400000,0.371400,0.000000,0.200000,0.651400,success
0.600000,1.500000,0.371400,0.000000,0.200000,0.671400,success
0.600000,1.600000,0.371400,0.000000,0.200000,0.691400,success
0.600000,1.700000,0.371400,0.000000,0.200000,0.711400,success
0.600000,1.800000,0.371400,0.000000,0.200000,0.731400,success
0.600000,1.900000,0.371400,0.000000,0.200000,0.751400,success
0.600000,2.000000,0.371400,0.000000,0.200000,0.771400,success
0.700000,0.000000,0.228600,0.041700,0.600000,0.257790,success
0.700000,0.100000,0.228600,0.041700,0.600000,0.317790,success
0.700000,0.200000,0.228600,0.041700,0.600000,0.377790,success
0.700000,0.300000,0.371400,0.000000,0.200000,0.431400,success
0.700000,0.400000,0.371400,0.000000,0.200000,0.451400,success
0.700000,0.500000,0.371400,0.000000,0.200000,0.471400,success
0.700000,0.600000,0.371400,0.000000,0.200000,0.491400,success
0.700000,0.700000,0.371400,0.000000,0.200000,0.511400,success
0.700000,0.800000,0.371400,0.000000,0.200000,0.531400,success
0.700000,0.900000,0.371400,0.000000,0.200000,0.551400,success
0.700000,1.000000,0.371400,0.000000,0.200000,0.571400,success
0.700000,1.100000,0.371400,0.000000,0.200000,0.591400,success
0.700000,1.200000,0.371400,0.000000,0.200000,0.611400,success
0.700000,1.300000,0.371400,0.000000,0.200000,0.631400,success
0.700000,1.400000,0.400000,0.000000,0.200000,0.680000,success
0.700000,1.500000,0.371400,0.000000,0.200000,0.671400,success
0.700000,1.600000,0.371400,0.000000,0.200000,0.691400,success
0.700000,1.700000,0.371400,0.000000,0.200000,0.711400,success
0.700000,1.800000,0.371400,0.000000,0.200000,0.731400,success
0.700000,1.900000,0.371400,0.000000,0.200000,0.751400,success
0.700000,2.000000,0.371400,0.000000,0.200000,0.771400,success
0.800000,0.000000,0.228600,0.041700,0.600000,0.261960,success
0.800000,0.100000,0.228600,0.041700,0.600000,0.321960,success
0.800000,0.200000,0.257100,0.083300,0.600000,0.443740,success
0.800000,0.300000,0.371400,0.000000,0.200000,0.431400,success
0.800000,0.400000,0.371400,0.000000,0.200000,0.451400,success
0.800000,0.500000,0.371400,0.000000,0.200000,0.471400,success
0.800000,0.600000,0.371400,0.000000,0.200000,0.491400,success
0.800000,0.700000,0.371400,0.000000,0.200000,0.511400,success
0.800000,0.800000,0.371400,0.000000,0.200000,0.531400,success
0.800000,0.900000,0.371400,0.000000,0.200000,0.551400,success
0.800000,1.000000,0.371400,0.000000,0.200000,0.571400,success
0.800000,1.100000,0.371400,0.000000,0.200000,0.591400,success
0.800000,1.200000,0.371400,0.000000,0.200000,0.611400,success
0.800000,1.300000,0.371400,0.000000,0.200000,0.631400,success
0.800000,1.400000,0.371400,0.000000,0.200000,0.651400,success
0.800000,1.500000,0.371400,0.000000,0.200000,0.671400,success
0.800000,1.600000,0.371400,0.000000,0.200000,0.691400,success
0.800000,1.700000,0.371400,0.000000,0.200000,0.711400,success
0.800000,1.800000,0.371400,0.000000,0.200000,0.731400,success
0.800000,1.900000,0.371400,0.000000,0.200000,0.751400,success
0.800000,2.000000,0.371400,0.000000,0.200000,0.771400,success
0.900000,0.000000,0.228600,0.041700,0.600000,0.266130,success
0.900000,0.100000,0.228600,0.041700,0.600000,0.326130,success
0.900000,0.200000,0.371400,0.000000,0.200000,0.411400,success
0.900000,0.300000,0.371400,0.000000,0.200000,0.431400,success
0.900000,0.400000,0.371400,0.000000,0.200000,0.451400,success
0.900000,0.500000,0.371400,0.000000,0.200000,0.471400,success
0.900000,0.600000,0.371400,0.000000,0.200000,0.491400,success
0.900000,0.700000,0.371400,0.000000,0.200000,0.511400,success
0.900000,0.800000,0.371400,0.000000,0.200000,0.531400,success
0.900000,0.900000,0.371400,0.000000,0.200000,0.551400,success
0.900000,1.000000,0.371400,0.000000,0.200000,0.571400,success
0.900000,1.100000,0.371400,0.000000,0.200000,0.591400,success
0.900000,1.200000,0.371400,0.000000,0.200000,0.611400,success
0.900000,1.300000,0.371400,0.000000,0.200000,0.631400,success
0.900000,1.400000,0.371400,0.000000,0.200000,0.651400,success
0.900000,1.500000,0.371400,0.000000,0.200000,0.671400,success
0.900000,1.600000,0.371400,0.000000,0.200000,0.691400,success
0.900000,1.700000,0.371400,0.000000,0.200000,0.711400,success
0.900000,1.800000,0.371400,0.000000,0.200000,0.731400,success
0.900000,1.900000,0.371400,0.000000,0.200000,0.751400,success
0.900000,2.000000,0.371400,0.000000,0.200000,0.771400,success
1.000000,0.000000,0.228600,0.041700,0.600000,0.270300,success
1.000000,0.100000,0.228600,0.041700,0.600000,0.330300,success
1.000000,0.200000,0.228600,0.041700,0.600000,0.390300,success
1.000000,0.300000,0.371400,0.000000,0.200000,0.431400,success
1.000000,0.400000,0.371400,0.000000,0.200000,0.451400,success
1.000000,0.500000,0.371400,0.000000,0.200000,0.471400,success
1.000000,0.600000,0.371400,0.000000,0.200000,0.491400,success
1.000000,0.700000,0.371400,0.000000,0.200000,0.511400,success
1.000000,0.800000,0.371400,0.000000,0.200000,0.531400,success
1.000000,0.900000,0.371400,0.000000,0.200000,0.551400,success
1.000000,1.000000,0.371400,0.000000,0.200000,0.571400,success
1.000000,1.100000,0.371400,0.000000,0.200000,0.591400,success
1.000000,1.200000,0.371400,0.000000,0.200000,0.611400,success
1.000000,1.300000,0.371400,0.000000,0.200000,0.631400,success
1.000000,1.400000,0.371400,0.000000,0.200000,0.651400,success
1.000000,1.500000,0.371400,0.000000,0.200000,0.671400,success
1.000000,1.600000,0.371400,0.000000,0.200000,0.691400,success
1.000000,1.700000,0.371400,0.000000,0.200000,0.711400,success
