n,Non-Opti HS,Opti HS,HS Improvement (%),Non-Opti PS,Opti PS,PS Improvement (%),Non-Opti MD,Opti MD,MD Improvement (%)
4.00,3.00,3.00,0.00,2.00,2.00,0.00,0.50,0.50,0.00
6.00,16.00,13.00,18.75,4.00,4.00,0.00,0.50,0.50,0.00
8.00,22.00,35.00,-59.09,10.00,6.00,40.00,1.50,0.50,66.67
25.00,819.00,1192.00,-45.54,130.00,54.00,58.46,4.00,1.00,75.00
250.00,1261076.00,1250494.00,0.84,30794.00,1282.00,95.84,22.50,10.50,53.33
500.00,10400027.00,9355982.00,10.04,124056.00,16630.00,86.59,31.50,29.50,6.35
1000.00,83349223.00,75548920.00,9.36,499478.00,423188.00,15.27,50.50,34.50,31.68
