alpha,beta,status,anal_norm_hs,anal_norm_ps,anal_norm_md,total_analytical_score,scaled_hs,scaled_ps,scaled_md,total_scaled_score,raw_hs,raw_ps,raw_md
0.800000,1.000000,success,-25.564519,-180.950845,-3.564105,-173.889300,0.625109,0.973891,0.517813,1.922035,1917884.000000,17648,17.500000
0.800000,1.100000,success,-25.611477,-182.422425,-3.564105,-175.469932,0.625329,0.974629,0.517813,1.974626,1917274.000000,17428,17.500000
0.800000,1.200000,success,-24.179333,-182.489315,-3.868695,-174.813219,0.618594,0.974662,0.519334,2.021525,1935878.000000,17418,16.500000
0.800000,1.300000,success,-24.279176,-180.643151,-3.868695,-173.823001,0.619065,0.973734,0.519334,2.073187,1934581.000000,17694,16.500000
0.800000,1.400000,success,-23.106533,-180.362213,-4.173286,-173.238904,0.613520,0.973590,0.520854,2.121587,1949814.000000,17736,15.500000
0.800000,1.500000,success,-24.000661,-182.288645,-3.868695,-175.634620,0.617751,0.974563,0.519334,2.176402,1938199.000000,17448,16.500000
0.900000,0.500000,success,-26.104537,-198.890744,-1.736561,-205.974487,0.627637,0.981618,0.508682,1.765433,1910869.000000,14966,23.500000
0.900000,0.600000,success,-25.270069,-202.649963,-2.041151,-208.879726,0.623728,0.982926,0.510204,1.814484,1921709.000000,14404,22.500000
0.900000,0.700000,success,-25.322647,-195.573000,-2.650333,-203.193580,0.623975,0.980381,0.513249,1.865592,1921026.000000,15462,20.500000
0.900000,0.800000,success,-24.245998,-195.693402,-3.259514,-202.977671,0.618909,0.980428,0.516292,1.914327,1935012.000000,15444,18.500000
0.900000,0.900000,success,-23.657097,-194.315468,-3.564105,-201.748713,0.616127,0.979892,0.517813,1.964061,1942662.000000,15650,17.500000
0.900000,1.000000,success,-23.600901,-192.710108,-3.564105,-200.604103,0.615861,0.979249,0.517813,2.014999,1943392.000000,15890,17.500000
0.900000,1.100000,success,-22.641956,-193.111448,-3.868695,-200.697824,0.611314,0.979412,0.519334,2.064052,1955849.000000,15830,16.500000
0.900000,1.200000,success,-22.449505,-194.823832,-3.868695,-202.433388,0.610399,0.980091,0.519334,2.115682,1958349.000000,15574,16.500000
0.900000,1.300000,success,-21.523045,-193.271984,-4.173286,-200.893102,0.605984,0.979476,0.520854,2.164623,1970384.000000,15806,15.500000
0.900000,1.400000,success,-22.663125,-192.576328,-3.868695,-201.397994,0.611415,0.979195,0.519334,2.219757,1955574.000000,15910,16.500000
0.900000,1.500000,success,-20.848388,-192.415792,-4.477877,-200.739416,0.602757,0.979129,0.522374,2.267535,1979148.000000,15934,14.500000
1.000000,0.500000,success,-22.416172,-208.228589,-1.431970,-231.360746,0.610241,0.984701,0.507159,1.848522,1958782.000000,13570,24.500000
1.000000,0.600000,success,-22.312710,-207.974407,-2.345742,-231.694563,0.609748,0.984625,0.511727,1.901409,1960126.000000,13608,21.500000
1.000000,0.700000,success,-22.524176,-207.278751,-2.041151,-231.231733,0.610754,0.984412,0.510204,1.952310,1957379.000000,13712,22.500000
