alpha,beta,status,emp_norm_hs,emp_norm_ps,emp_norm_md,norm_hs,norm_ps,norm_md,total_norm_score,empirical_score,raw_hs,raw_ps,raw_md
0.800000,1.200000,success,99.934159,124.768775,6.285896,0.393638,0.097955,0.165829,0.670996,534628.000000,524837.000000,12214,16.500000
0.800000,1.300000,success,101.191055,124.993510,5.904933,0.398588,0.097727,0.155779,0.679283,541246.950000,531438.000000,12236,15.500000
0.800000,1.400000,success,102.620652,125.933310,5.523969,0.404220,0.099167,0.145729,0.687573,548828.700000,538946.000000,12328,14.500000
0.800000,1.500000,success,101.694879,124.687053,5.904933,0.400573,0.099091,0.155779,0.713514,543872.050000,534084.000000,12206,15.500000
0.900000,0.500000,success,102.399206,118.026725,5.904933,0.403347,0.083712,0.155779,0.556578,548189.350000,537783.000000,11554,15.500000
0.900000,0.600000,success,101.099848,116.494441,6.285896,0.398229,0.082803,0.165829,0.572249,541232.500000,530959.000000,11404,16.500000
0.900000,0.700000,success,102.247068,118.190169,5.904933,0.402748,0.085000,0.155779,0.588293,547407.850000,536984.000000,11570,15.500000
0.900000,0.800000,success,103.209781,117.597686,5.523969,0.406540,0.083737,0.145729,0.598487,552412.400000,542040.000000,11512,14.500000
0.900000,0.900000,success,102.164811,117.270799,5.904933,0.402424,0.083232,0.155779,0.617534,546897.950000,536552.000000,11480,15.500000
0.900000,1.000000,success,103.671144,118.067586,5.523969,0.408357,0.085025,0.145729,0.630609,554879.700000,544463.000000,11558,14.500000
0.900000,1.100000,success,102.599136,118.496626,5.904933,0.404135,0.086970,0.155779,0.653764,549290.050000,538833.000000,11600,15.500000
0.900000,1.200000,success,102.538014,118.271891,5.904933,0.403894,0.085455,0.155779,0.667738,548950.800000,538512.000000,11578,15.500000
0.900000,1.300000,success,102.436145,117.189077,5.904933,0.403493,0.083409,0.155779,0.681074,548321.950000,537977.000000,11472,15.500000
0.900000,1.400000,success,103.307461,119.477287,5.523969,0.406925,0.085328,0.145729,0.687740,553099.700000,542553.000000,11696,14.500000
0.900000,1.500000,success,103.564133,117.536394,5.523969,0.407936,0.083460,0.145729,0.701643,554278.150000,543901.000000,11506,14.500000
1.000000,0.500000,success,103.304605,113.675039,5.904933,0.406914,0.076313,0.155779,0.561116,553673.750000,542538.000000,11128,15.500000
