n,Non-Opti Z-sum,Opti Z-sum,Non-Opti HS,Opti HS,Non-Opti PS,Opti PS,Non-Opti MD,Opti MD
4,-3.7205,-3.7205,3.0000,3.0000,2.0000,2.0000,0.5000,0.5000
6,-5.4663,-6.0519,16.0000,13.0000,4.0000,4.0000,0.5000,0.5000
8,-7.1430,-8.0907,22.0000,35.0000,10.0000,6.0000,1.5000,0.5000
25,-17.9921,-21.8326,819.0000,1192.0000,130.0000,54.0000,4.0000,1.0000
250,-7.3326,-202.8714,1261076.0000,1250494.0000,30794.0000,1282.0000,22.5000,10.5000
500,-4.2099,-378.1869,10400027.0000,9355982.0000,124056.0000,16630.0000,31.5000,29.5000
1000,-0.9371,-180.6864,83349223.0000,75548920.0000,499478.0000,423188.0000,50.5000,34.5000
