alpha,beta,status,emp_norm_hs,emp_norm_ps,emp_norm_md,norm_hs,norm_ps,norm_md,total_norm_score,empirical_score,raw_hs,raw_ps,raw_md
0.900000,1.400000,success,154.000000,9186.000000,49.500000,,,,,8490.700000,154.000000,9186,49.500000
0.900000,1.500000,success,133.000000,9204.000000,48.500000,,,,,8489.350000,133.000000,9204,48.500000
1.000000,0.500000,success,303.000000,9036.000000,48.500000,,,,,9363.250000,303.000000,9036,48.500000
1.000000,0.600000,success,287.000000,9054.000000,49.500000,,,,,9370.700000,287.000000,9054,49.500000
1.000000,0.700000,success,325.000000,9014.000000,49.500000,,,,,9373.650000,325.000000,9014,49.500000
1.000000,0.800000,success,269.000000,9068.000000,49.500000,,,,,9376.600000,269.000000,9068,49.500000
1.000000,0.900000,success,279.000000,9060.000000,49.500000,,,,,9383.550000,279.000000,9060,49.500000
1.000000,1.000000,success,287.000000,9050.000000,49.500000,,,,,9386.500000,287.000000,9050,49.500000
1.000000,1.100000,success,359.000000,8978.000000,48.500000,,,,,9390.350000,359.000000,8978,48.500000
1.000000,1.200000,success,324.000000,9018.000000,48.500000,,,,,9400.200000,324.000000,9018,48.500000
1.000000,1.300000,success,315.000000,9020.000000,48.500000,,,,,9398.050000,315.000000,9020,48.500000
1.000000,1.400000,success,333.000000,9002.000000,49.500000,,,,,9404.300000,333.000000,9002,49.500000
1.000000,1.500000,success,274.000000,9070.000000,49.500000,,,,,9418.250000,274.000000,9070,49.500000
1.100000,0.500000,success,418.000000,8920.000000,49.500000,,,,,10254.750000,418.000000,8920,49.500000
1.100000,0.600000,success,353.000000,8980.000000,49.500000,,,,,10260.700000,353.000000,8980,49.500000
1.100000,0.700000,success,441.000000,8900.000000,48.500000,,,,,10264.950000,441.000000,8900,48.500000
1.100000,0.800000,success,426.000000,8912.000000,49.500000,,,,,10268.800000,426.000000,8912,49.500000
1.100000,0.900000,success,444.000000,8902.000000,48.500000,,,,,10279.850000,444.000000,8902,48.500000
1.100000,1.000000,success,432.000000,8906.000000,48.500000,,,,,10277.100000,432.000000,8906,48.500000
1.100000,1.100000,success,337.000000,8998.000000,48.500000,,,,,10288.150000,337.000000,8998,48.500000
1.100000,1.200000,success,413.000000,8928.000000,48.500000,,,,,10292.000000,413.000000,8928,48.500000
1.100000,1.300000,success,440.000000,8900.000000,48.500000,,,,,10293.050000,440.000000,8900,48.500000
1.100000,1.400000,success,424.000000,8918.000000,48.500000,,,,,10301.700000,424.000000,8918,48.500000
1.100000,1.500000,success,437.000000,8902.000000,48.500000,,,,,10301.950000,437.000000,8902,48.500000
1.200000,0.500000,success,412.000000,8930.000000,49.500000,,,,,11152.750000,412.000000,8930,49.500000
1.200000,0.600000,success,412.000000,8924.000000,48.500000,,,,,11149.900000,412.000000,8924,48.500000
1.200000,0.700000,success,382.000000,8952.000000,48.500000,,,,,11158.350000,382.000000,8952,48.500000
1.200000,0.800000,success,427.000000,8916.000000,49.500000,,,,,11165.800000,427.000000,8916,49.500000
1.200000,0.900000,success,419.000000,8918.000000,48.500000,,,,,11164.250000,419.000000,8918,48.500000
1.200000,1.000000,success,455.000000,8878.000000,48.500000,,,,,11157.100000,455.000000,8878,48.500000
1.200000,1.100000,success,390.000000,8950.000000,48.500000,,,,,11183.350000,390.000000,8950,48.500000
1.200000,1.200000,success,407.000000,8928.000000,49.500000,,,,,11180.000000,407.000000,8928,49.500000
1.200000,1.300000,success,383.000000,8958.000000,48.500000,,,,,11195.650000,383.000000,8958,48.500000
1.200000,1.400000,success,451.000000,8888.000000,49.500000,,,,,11185.900000,451.000000,8888,49.500000
1.200000,1.500000,success,401.000000,8940.000000,48.500000,,,,,11201.750000,401.000000,8940,48.500000
1.300000,0.500000,success,581.000000,8794.000000,48.500000,,,,,12037.450000,581.000000,8794,48.500000
1.300000,0.600000,success,566.000000,8816.000000,48.500000,,,,,12055.900000,566.000000,8816,48.500000
1.300000,0.700000,success,631.000000,8750.000000,48.500000,,,,,12039.950000,631.000000,8750,48.500000
1.300000,0.800000,success,587.000000,8792.000000,48.500000,,,,,12055.400000,587.000000,8792,48.500000
1.300000,0.900000,success,542.000000,8824.000000,48.500000,,,,,12056.850000,542.000000,8824,48.500000
1.300000,1.000000,success,612.000000,8774.000000,48.500000,,,,,12066.700000,612.000000,8774,48.500000
1.300000,1.100000,success,571.000000,8802.000000,48.500000,,,,,12066.950000,571.000000,8802,48.500000
1.300000,1.200000,success,607.000000,8784.000000,48.500000,,,,,12084.400000,607.000000,8784,48.500000
1.300000,1.300000,success,564.000000,8808.000000,49.500000,,,,,12078.750000,564.000000,8808,49.500000
1.300000,1.400000,success,627.000000,8758.000000,48.500000,,,,,12080.300000,627.000000,8758,48.500000
