alpha,beta,status,emp_norm_hs,emp_norm_ps,emp_norm_md,norm_hs,norm_ps,norm_md,total_norm_score,empirical_score,raw_hs,raw_ps,raw_md
0.500000,0.500000,success,1.501875,2.605023,1.500000,0.228571,0.041667,0.600000,0.549405,11.750000,8.000000,6,1.500000
0.500000,0.600000,success,1.501875,2.605023,1.500000,0.228571,0.041667,0.600000,0.609405,11.900000,8.000000,6,1.500000
0.500000,0.700000,success,2.440547,1.736682,0.500000,0.371429,0.000000,0.200000,0.511429,15.350000,13.000000,4,0.500000
0.500000,0.800000,success,1.501875,2.605023,1.500000,0.228571,0.041667,0.600000,0.729405,12.200000,8.000000,6,1.500000
0.500000,0.900000,success,2.440547,1.736682,0.500000,0.371429,0.000000,0.200000,0.551429,15.450000,13.000000,4,0.500000
0.500000,1.000000,success,2.440547,1.736682,0.500000,0.371429,0.000000,0.200000,0.571429,15.500000,13.000000,4,0.500000
0.500000,1.100000,success,2.440547,1.736682,0.500000,0.371429,0.000000,0.200000,0.591429,15.550000,13.000000,4,0.500000
0.500000,1.200000,success,2.440547,1.736682,0.500000,0.371429,0.000000,0.200000,0.611429,15.600000,13.000000,4,0.500000
0.500000,1.300000,success,2.440547,1.736682,0.500000,0.371429,0.000000,0.200000,0.631429,15.650000,13.000000,4,0.500000
0.500000,1.400000,success,2.440547,1.736682,0.500000,0.371429,0.000000,0.200000,0.651429,15.700000,13.000000,4,0.500000
0.500000,1.500000,success,2.440547,1.736682,0.500000,0.371429,0.000000,0.200000,0.671429,15.750000,13.000000,4,0.500000
0.600000,0.500000,success,1.501875,2.605023,1.500000,0.228571,0.041667,0.600000,0.553571,12.350000,8.000000,6,1.500000
0.600000,0.600000,success,1.501875,2.605023,1.500000,0.228571,0.041667,0.600000,0.613571,12.500000,8.000000,6,1.500000
0.600000,0.700000,success,2.440547,1.736682,0.500000,0.371429,0.000000,0.200000,0.511429,15.750000,13.000000,4,0.500000
0.600000,0.800000,success,2.440547,1.736682,0.500000,0.371429,0.000000,0.200000,0.531429,15.800000,13.000000,4,0.500000
0.600000,0.900000,success,2.440547,1.736682,0.500000,0.371429,0.000000,0.200000,0.551429,15.850000,13.000000,4,0.500000
0.600000,1.000000,success,2.440547,1.736682,0.500000,0.371429,0.000000,0.200000,0.571429,15.900000,13.000000,4,0.500000
0.600000,1.100000,success,2.440547,1.736682,0.500000,0.371429,0.000000,0.200000,0.591429,15.950000,13.000000,4,0.500000
0.600000,1.200000,success,2.440547,1.736682,0.500000,0.371429,0.000000,0.200000,0.611429,16.000000,13.000000,4,0.500000
0.600000,1.300000,success,2.440547,1.736682,0.500000,0.371429,0.000000,0.200000,0.631429,16.050000,13.000000,4,0.500000
0.600000,1.400000,success,2.440547,1.736682,0.500000,0.371429,0.000000,0.200000,0.651429,16.100000,13.000000,4,0.500000
0.600000,1.500000,success,2.440547,1.736682,0.500000,0.371429,0.000000,0.200000,0.671429,16.150000,13.000000,4,0.500000
0.700000,0.500000,success,2.440547,1.736682,0.500000,0.371429,0.000000,0.200000,0.471429,16.050000,13.000000,4,0.500000
0.700000,0.600000,success,2.440547,1.736682,0.500000,0.371429,0.000000,0.200000,0.491429,16.100000,13.000000,4,0.500000
0.700000,0.700000,success,2.440547,1.736682,0.500000,0.371429,0.000000,0.200000,0.511429,16.150000,13.000000,4,0.500000
0.700000,0.800000,success,2.440547,1.736682,0.500000,0.371429,0.000000,0.200000,0.531429,16.200000,13.000000,4,0.500000
0.700000,0.900000,success,2.440547,1.736682,0.500000,0.371429,0.000000,0.200000,0.551429,16.250000,13.000000,4,0.500000
