alpha,beta,status,norm_hs,norm_ps,norm_md,total_norm_score,raw_hs,raw_ps,raw_md
1.000000,1.200000,success,2.440547,1.736682,0.500000,17.600000,13.000000,4,0.500000
1.000000,1.300000,success,2.440547,1.736682,0.500000,17.650000,13.000000,4,0.500000
1.000000,1.400000,success,2.440547,1.736682,0.500000,17.700000,13.000000,4,0.500000
1.000000,1.500000,success,2.440547,1.736682,0.500000,17.750000,13.000000,4,0.500000
1.100000,0.500000,success,2.440547,1.736682,0.500000,17.650000,13.000000,4,0.500000
1.100000,0.600000,success,2.440547,1.736682,0.500000,17.700000,13.000000,4,0.500000
1.100000,0.700000,success,2.440547,1.736682,0.500000,17.750000,13.000000,4,0.500000
1.100000,0.800000,success,2.440547,1.736682,0.500000,17.800000,13.000000,4,0.500000
1.100000,0.900000,success,1.501875,2.605023,1.500000,15.950000,8.000000,6,1.500000
1.100000,1.000000,success,2.440547,1.736682,0.500000,17.900000,13.000000,4,0.500000
1.100000,1.100000,success,2.440547,1.736682,0.500000,17.950000,13.000000,4,0.500000
1.100000,1.200000,success,2.440547,1.736682,0.500000,18.000000,13.000000,4,0.500000
1.100000,1.300000,success,2.440547,1.736682,0.500000,18.050000,13.000000,4,0.500000
1.100000,1.400000,success,2.440547,1.736682,0.500000,18.100000,13.000000,4,0.500000
1.100000,1.500000,success,2.440547,1.736682,0.500000,18.150000,13.000000,4,0.500000
1.200000,0.500000,success,2.440547,1.736682,0.500000,18.050000,13.000000,4,0.500000
1.200000,0.600000,success,2.440547,1.736682,0.500000,18.100000,13.000000,4,0.500000
1.200000,0.700000,success,2.440547,1.736682,0.500000,18.150000,13.000000,4,0.500000
1.200000,0.800000,success,2.440547,1.736682,0.500000,18.200000,13.000000,4,0.500000
1.200000,0.900000,success,2.440547,1.736682,0.500000,18.250000,13.000000,4,0.500000
1.200000,1.000000,success,2.440547,1.736682,0.500000,18.300000,13.000000,4,0.500000
1.200000,1.100000,success,2.440547,1.736682,0.500000,18.350000,13.000000,4,0.500000
1.200000,1.200000,success,2.440547,1.736682,0.500000,18.400000,13.000000,4,0.500000
1.200000,1.300000,success,2.440547,1.736682,0.500000,18.450000,13.000000,4,0.500000
1.200000,1.400000,success,2.440547,1.736682,0.500000,18.500000,13.000000,4,0.500000
1.200000,1.500000,success,2.440547,1.736682,0.500000,18.550000,13.000000,4,0.500000
1.300000,0.500000,success,2.440547,1.736682,0.500000,18.450000,13.000000,4,0.500000
1.300000,0.600000,success,2.440547,1.736682,0.500000,18.500000,13.000000,4,0.500000
1.300000,0.700000,success,2.440547,1.736682,0.500000,18.550000,13.000000,4,0.500000
1.300000,0.800000,success,2.440547,1.736682,0.500000,18.600000,13.000000,4,0.500000
1.300000,0.900000,success,2.440547,1.736682,0.500000,18.650000,13.000000,4,0.500000
1.300000,1.000000,success,2.440547,1.736682,0.500000,18.700000,13.000000,4,0.500000
1.300000,1.100000,success,2.440547,1.736682,0.500000,18.750000,13.000000,4,0.500000
1.300000,1.200000,success,2.440547,1.736682,0.500000,18.800000,13.000000,4,0.500000
1.300000,1.300000,success,2.440547,1.736682,0.500000,18.850000,13.000000,4,0.500000
1.300000,1.400000,success,2.440547,1.736682,0.500000,18.900000,13.000000,4,0.500000
1.300000,1.500000,success,2.440547,1.736682,0.500000,18.950000,13.000000,4,0.500000
1.400000,0.500000,success,2.440547,1.736682,0.500000,18.850000,13.000000,4,0.500000
1.400000,0.600000,success,2.440547,1.736682,0.500000,18.900000,13.000000,4,0.500000
1.400000,0.700000,success,2.440547,1.736682,0.500000,18.950000,13.000000,4,0.500000
1.400000,0.800000,success,2.440547,1.736682,0.500000,19.000000,13.000000,4,0.500000
1.400000,0.900000,success,2.440547,1.736682,0.500000,19.050000,13.000000,4,0.500000
1.400000,1.000000,success,2.440547,1.736682,0.500000,19.100000,13.000000,4,0.500000
1.400000,1.100000,success,2.440547,1.736682,0.500000,19.150000,13.000000,4,0.500000
